WEEKDAY,PRODID,HOUR,PREDICTED_IMPRESSIONS
Thursday,2,11,825.5
Thursday,2,12,865.5
Thursday,2,13,944.6666666666666
Thursday,2,14,972.8
Thursday,2,15,1050.6
Thursday,2,16,985.4
Thursday,2,17,1053.8
Thursday,2,18,1134.8
Thursday,2,19,1051.4
Thursday,2,20,1053.4
Thursday,2,21,870.4
Thursday,2,22,684.2
Thursday,2,23,418.0
Thursday,3,0,398.0
Thursday,3,1,244.83333333333334
Thursday,3,2,226.5
Thursday,3,3,163.16666666666666
Thursday,3,4,235.83333333333334
Thursday,3,5,746.8333333333334
Thursday,3,6,1225.0
Thursday,3,7,1606.5
Thursday,3,8,1410.5
Thursday,3,9,1297.8333333333333
Thursday,3,10,1308.0
Thursday,3,11,1318.5
Thursday,3,12,1506.5
Thursday,3,13,1517.5
Thursday,3,14,1498.6
Thursday,3,15,1786.2
Thursday,3,16,1595.0
Thursday,3,17,1533.8
Thursday,3,18,1817.2
Thursday,3,19,1507.0
Thursday,3,20,1462.8
Thursday,3,21,1472.4
Thursday,3,22,1072.6
Thursday,3,23,664.6
Tuesday,1,0,106.6
Tuesday,1,1,62.0
Tuesday,1,2,48.4
Tuesday,1,3,45.4
Tuesday,1,4,55.8
Tuesday,1,5,180.2
Tuesday,1,6,312.6
Tuesday,1,7,358.6
Tuesday,1,8,364.4
Tuesday,1,9,343.8
Tuesday,1,10,315.2
Tuesday,1,11,337.4
Tuesday,1,12,364.2
Tuesday,1,13,394.0
Tuesday,1,14,397.0
Tuesday,1,15,393.2
Tuesday,1,16,408.0
Tuesday,1,17,408.8
Tuesday,1,18,440.8333333333333
Tuesday,1,19,432.2
Tuesday,1,20,403.1666666666667
Tuesday,1,21,350.6666666666667
Tuesday,1,22,287.8333333333333
Tuesday,1,23,160.0
Tuesday,2,0,241.8
Tuesday,2,1,157.0
Tuesday,2,2,123.8
Tuesday,2,3,116.8
Tuesday,2,4,151.6
Tuesday,2,5,429.2
Tuesday,2,6,744.6
Tuesday,2,7,894.0
Tuesday,2,8,893.8
Tuesday,2,9,856.0
Tuesday,2,10,797.8
Tuesday,2,11,787.4
Tuesday,2,12,929.6
Tuesday,2,13,963.6
Tuesday,2,14,976.8
Tuesday,2,15,1056.6
Tuesday,2,16,1021.4
Tuesday,2,17,1065.4
Tuesday,2,18,1006.3333333333334
Tuesday,2,19,1073.2
Tuesday,2,20,1002.5
Tuesday,2,21,938.6666666666666
Tuesday,2,22,756.0
Tuesday,2,23,434.0
Tuesday,3,0,358.8
Tuesday,3,1,267.6
Tuesday,3,2,189.2
Tuesday,3,3,159.0
Tuesday,3,4,211.2
Tuesday,3,5,707.2
Tuesday,3,6,1309.2
Tuesday,3,7,1531.2
Tuesday,3,8,1516.8
Tuesday,3,9,1244.2
Tuesday,3,10,1368.8
Tuesday,3,11,1292.6
Tuesday,3,12,1479.6
Tuesday,3,13,1322.6
Tuesday,3,14,1603.2
Tuesday,3,15,1515.0
Tuesday,3,16,1616.8
Tuesday,3,17,1598.4
Tuesday,3,18,1852.3333333333333
Tuesday,3,19,1724.4
Tuesday,3,20,1645.0
Tuesday,3,21,1471.0
Tuesday,3,22,1206.0
Tuesday,3,23,662.3333333333334
Wednesday,1,0,98.33333333333333
Wednesday,1,1,63.5
Wednesday,1,2,54.333333333333336
Wednesday,1,3,50.0
Wednesday,1,4,61.166666666666664
Wednesday,1,5,162.16666666666666
Wednesday,1,6,301.0
Wednesday,1,7,371.1666666666667
Wednesday,1,8,376.1666666666667
Wednesday,1,9,333.5
Wednesday,1,10,315.0
Wednesday,1,11,323.3333333333333
Wednesday,1,12,379.0
Wednesday,1,13,376.0
Wednesday,1,14,392.3333333333333
Wednesday,1,15,417.5
Wednesday,1,16,392.4
Wednesday,1,17,422.5
Wednesday,1,18,431.1666666666667
Wednesday,1,19,423.2
Wednesday,1,20,427.0
Wednesday,1,21,371.6666666666667
Wednesday,1,22,301.6666666666667
Wednesday,1,23,155.33333333333334
Wednesday,2,0,246.83333333333334
Wednesday,2,1,154.0
Wednesday,2,2,126.33333333333333
Wednesday,2,3,98.83333333333333
Wednesday,2,4,147.33333333333334
Wednesday,2,5,437.5
Wednesday,2,6,763.1666666666666
Wednesday,2,7,924.0
Wednesday,2,8,906.3333333333334
Wednesday,2,9,820.8333333333334
Wednesday,2,10,748.5
Wednesday,2,11,827.6666666666666
Wednesday,2,12,924.8333333333334
Wednesday,2,13,875.6666666666666
Wednesday,2,14,1041.3333333333333
Wednesday,2,15,1042.3333333333333
Wednesday,2,16,1003.8
Wednesday,2,17,1096.0
Wednesday,2,18,1127.6666666666667
Wednesday,2,19,1107.0
Wednesday,2,20,1038.3333333333333
Wednesday,2,21,845.0
Wednesday,2,22,695.0
Wednesday,2,23,403.1666666666667
Wednesday,3,0,417.1666666666667
Wednesday,3,1,270.5
Wednesday,3,2,215.5
Wednesday,3,3,177.5
Wednesday,3,4,255.83333333333334
Wednesday,3,5,773.5
Wednesday,3,6,1094.8333333333333
Wednesday,3,7,1428.0
Wednesday,3,8,1369.6666666666667
Wednesday,3,9,1423.6666666666667
Wednesday,3,10,1243.3333333333333
Wednesday,3,11,1191.3333333333333
Wednesday,3,12,1259.5
Wednesday,3,13,1546.0
Wednesday,3,14,1589.0
Wednesday,3,15,1752.0
Wednesday,3,16,1789.2
Wednesday,3,17,1827.0
Wednesday,3,18,1694.3333333333333
Wednesday,3,19,1778.6
Wednesday,3,20,1536.8333333333333
Wednesday,3,21,1514.8333333333333
Wednesday,3,22,1312.3333333333333
Wednesday,3,23,676.3333333333334
